<<<<<<< HEAD
,名称,创建日期,播放次数,收藏量,转发量,评论数,歌单长度,tag1
82,00最爱听的说唱：最怕rapper唱情歌,2025-07-29,75703,900,2,1,28,华语 说唱 00后
83,总有一刻你会懂得有些爱无法重来,2025-06-19,285212,710,1,3,299,华语 00后 90后
84,人变得好快 我想不明白,2025-03-05,16588,226,3,200,366,00后 思念 华语
85,“如朝霞般短暂 如晚霞般绚烂”,2019-07-29,31717,644,7,7,515,ACG 游戏 00后
86,沉浸式练枪，成为瞄准恶魔,2024-12-26,45732,276,5,1,54,欧美 游戏 00后
87,我在台湾做生意的时候.,2025-05-29,12027,78,7,5,25,70后 00后 粤语
88,心中有个王 简称一字狂,2025-03-24,207172,2597,58,13,215,流行 网络歌曲 00后
89,生活处处为难我 你也要吗,2024-12-13,34846,270,17,75,68,流行 00后 nan
90,freedom晚安别熬夜，放松心情,2024-12-13,39802,318,3,6,277,网络歌曲 治愈 00后
91,回忆似刀片 专刀回忆者.,2025-06-02,39184,195,1,5,128,00后 治愈 nan
92,热度爆表 | 当今让人最爱的系列,2019-01-10,1172283,2040,25,7,303,流行 华语 00后
93,幸福请降临我手心,2025-09-12,43972,132,5,1,122,流行 学习 00后
94,敏感不是你的缺点 而是生活带给的情绪,2025-04-26,161366,2015,22,30,64,流行 说唱 00后
95,乘舟将欲行，忽闻岸上踏歌声,2017-02-08,330055,414,10,9,452,流行 华语 00后
96,助眠小曲：一听就放松的旋律,2025-09-02,34641,2227,10,45,81,流行 兴奋 00后
97,哈基米南北绿豆：这便是哈的,2025-08-30,14828,242,2,2,126,流行 网络歌曲 00后
98,看破文专属BGM（对就是那个）,2025-06-13,4131,73,2,1,61,夜晚 性感 00后
99,漫波~（哈基米活全家音乐）,2025-09-04,25463,460,29,12,36,网络歌曲 00后 快乐
100,不做低端感情里面的福尔摩斯,2025-08-14,41725,182,1,1,185,00后 网络歌曲 驾车
101,因为太敏感 爱与痛苦总是双倍感受,2024-06-11,89870,625,7,18,136,流行 思念 00后
102,那爱情到底是什么,2021-04-04,1546269,5366,131,53,186,华语 粤语 00后
103,00后专用歌单哦【日常听歌专用】,2018-06-23,53267,849,3,4,636,00后 快乐 清新
104,「加木和兔子」随机的小幸运会降临。,2024-06-01,103339,1672,23,28,82,工作 00后 说唱
105,我偷藏了好多关于你的梦,2020-06-20,576091,2552,67,19,612,流行 说唱 00后
106,古风男神 声控必备 强推榜一,2016-01-29,252910,4315,37,50,168,古风 90后 00后
107,kpop歌单（娃吒礼墨鲸宝怪）,2025-08-17,13749,123,2,2,83,华语 流行 00后
108,丢了那把破伞才发现根本没雨,2025-07-16,216164,3690,66,55,294,流行 兴奋 00后
109,看双男主小说/漫画必备的歌,2025-04-19,14572,354,4,4,190,兴奋 放松 00后
110,好听的粤语歌｜每首都是宝藏,2022-02-24,1156688,6151,70,24,213,粤语 00后 流行
111,旋律/你的好坏我有所耳闻,2025-08-16,44195,274,2,1,155,00后 网络歌曲 伤感
112,从此天南地北 我一个人又何妨,2025-08-23,37571,239,5,1,108,流行 网络歌曲 00后
113,神也，请再次复燃炎之意志吧,2019-05-19,16172,109,1,1,243,00后 nan nan
114,绝美电音：即刻沦陷的梦幻女嗓,2022-07-18,34984,373,4,5,150,电子 运动 00后
115,鹿晗「Season4」演唱会（最终歌单）,2025-06-28,77051,1018,62,16,37,韩语 流行 00后
116,薛之谦live丨永远不会失望,2020-07-17,1224014,12511,7556,114,172,安静 00后 流行
117,黄誉博｜陪他抵达梦寐之地,2020-12-19,108942,1751,12,23,100,华语 流行 00后
118,【DJ】一战勇 两剑霸 狂野中立王位,2025-06-19,245409,1674,8,2,104,流行 网络歌曲 00后
119,人都会变 我不指望谁待我如初,2025-01-22,7798,60,2,1,117,流行 华语 00后
120,嘻哈说唱|炸裂封神之作,2023-12-05,41009852,27233,209,639,189,华语 说唱 00后
121,华语丨别找了，都在这里,2016-09-28,6685094,19055,274,35,444,华语 流行 00后
122,“生命可以没有灿烂 不能失去的是平凡”,2023-04-16,22237,99,7,5,402,学习 网络歌曲 00后
123,你一言不发偏偏这雨越下越大,2025-03-27,21242,60,1,3,126,夜晚 伤感 00后
124,我想念你，但也只是想念而已,2025-09-02,113981,2320,7,8,89,流行 00后 华语
125,那些动听而又高燃的二次元主题神曲,2019-08-13,120559,2507,17,40,486,90后 00后 快乐
126,「超燃BGM/排位の小曲/上分必备」,2024-01-29,36484,455,2,11,150,游戏 00后 摇滚
127,【华语超甜】百听不厌，无限循环的冷门佳作,2017-05-25,5553740,72759,588,423,653,翻唱 00后 华语
128,看过朝阳便足矣 无需追问夕阳归处。,2025-06-27,235496,486,2,4,228,00后 流行 治愈
129,你会幸福的 迟早,2024-02-12,184533,506,22,21,268,孤独 思念 00后
130,爱你是我做过的最有毅力的事,2024-06-12,5584555,1917,26,19,331,流行 夜晚 00后
131,《蛊真人》进行曲、语录合集,2024-04-13,133764,1684,29,17,51,00后 另类/独立 流行
132,懂得幸福 幸福就会变得很轻松,2023-08-01,419267,3435,88,103,294,00后 流行 nan
133,【口水旋律】感觉至上,2024-06-14,162059,695,13,1,154,驾车 00后 nan
134,卦者灵风最全歌单,2022-04-02,1146033,24632,215,373,227,00后 治愈 说唱
135,【薛之谦】其实我没你不能活,2023-05-19,150686,1031,35,6,120,华语 流行 00后
136,动画片主题曲 | 00后的童年回忆杀,2025-09-05,287576,533,22,3,213,流行 影视原声 00后
137,寻找属于自己的江湖,2025-07-10,21742,406,5,2,142,古风 00后 网络歌曲
138,TFBOYS：愿我们的青春都能被珍藏,2020-07-19,780677,26962,286,334,92,华语 流行 00后
139,钟表能回到原点 但昨天永远是昨天,2025-02-26,6995,47,2,2,173,夜晚 伤感 00后
140,亞文化 | 聆听小众浪漫氛围,2022-06-18,798111,19532,256,110,113,New Age 电子 00后
141,如果你也喜欢h3r3|infp的自救指南,2025-03-28,74800,722,14,6,34,华语 00后 nan
142,车载「PHONK」与生俱来的自私性,2025-03-26,58529,344,4,2,294,电子 兴奋 00后
143,开心的日子｜@你想一起听歌的人,2025-09-02,104000,630,7,3,63,网络歌曲 00后 伤感
144,劲爆PHONK｜健身必备（定期更新）,2025-06-20,157934,920,3,2,263,电子 兴奋 00后
145,理想主义的少年永远不会被现实招安,2016-12-17,184072,1724,34,12,1460,流行 00后 网络歌曲
146,依然以“初音未来”存在于这里,2017-03-11,158309,4752,47,55,3182,日语 00后 ACG
147,如果忧郁是天赋,2024-05-15,154407,568,16,3,194,00后 网络歌曲 榜单
148,超好听的炸裂PHONK！“封面是入坑作”,2025-06-25,71554,513,5,1,192,电子 驾车 00后
149,将大局逆转吧，开！,2021-01-05,990148,5720,38,92,288,游戏 00后 驾车
150,「游戏中5杀/逆风翻盘/竞速神曲/超燃瞬间」,2023-12-17,24812,160,1,4,155,欧美 流行 00后
151,满腔热血，快意恩仇，江湖豪情壮志歌曲,2025-04-24,272592,1879,17,6,19,古风 00后 nan
152,00后童年回忆杀 ｜ 经典动画片主题曲,2025-06-14,50646,161,5,1,139,华语 00后 ACG
153,雄鹰再次展翅飞 我必剥夺你辉煌,2023-08-29,3319592,22828,546,212,238,流行 00后 网络歌曲
154,听rapper中国最炸武器库,2019-05-15,323621,1351,19,13,248,说唱 00后 nan
155,华语流行 | 那些年让人陶醉之歌,2016-03-02,496430,1222,29,6,420,流行 华语 00后
156,偶像活动系列｜全•不重 ,2021-12-27,79164,1752,10,7,239,日语 ACG 00后
157,静谧夜晚聆听星空的梦幻,2017-02-24,649671,1549,19,5,451,华语 流行 00后
158,18年的夏天，除了有点热，其他都很好,2020-04-23,4625601,33179,321,300,93,流行 00后 nan
159,充满神秘色彩的奇幻音乐之旅,2017-01-24,2050609,3523,65,11,452,华语 00后 清新
160,听那片离别的风,2025-06-26,435727,4845,1,5,60,电子 00后 网络歌曲
161,哪些百听不厌的金曲 | Lirik NahxiLar,2023-10-28,1826248,3340,107,18,226,流行 华语 00后
162,每首都是单曲循环的“PHONK电音“,2025-07-10,55161,279,4,2,286,电子 兴奋 00后
163,[史诗级卍解超燃打游戏精选]带上耳机燃炸,2018-04-05,2464419,31859,233,185,618,电子 00后 网络歌曲
164,嘴硬会失去太多,2018-04-14,11792,44,3,1,76,00后 快乐 网络歌曲
165,一字傲 二字狂 忘本界里我称王,2025-02-26,211443,2424,63,18,206,流行 兴奋 00后
166,【肝帝必备】千首娱乐时听的歌曲,2020-06-28,43796,663,4,1,1598,流行 治愈 00后
167,超级无敌原地起飞歌单,2021-03-27,285502,884,19,6,381,00后 流行 放松
168,念念不忘，必有回响,2020-02-12,20650,428,2,2,377,流行 ACG 00后
169,2025年度全网热播超绝单曲,2025-05-22,10741036,20925,370,270,141,流行 00后 网络歌曲
170,唯美纯音乐 伤感 孤独 安静 寂静 忧郁 氛围,2019-10-01,17777,232,1,9,50,轻音乐 安静 00后
171,大手子聚集地 尽情享用吧/.,2024-06-26,973344,8120,150,77,166,兴奋 网络歌曲 00后
172,如果爱是条街 那我真的站累了,2023-07-25,43972,291,10,6,187,流行 00后 nan
173,讲述人生百态的沧桑岁月,2016-06-04,729311,1494,18,4,451,华语 流行 00后
174,无法替代 那份最初的情怀.,2024-06-12,5857386,2705,19,39,331,流行 夜晚 00后
175,曼波小曲 | 哈基米活全家音乐,2025-08-06,207478,4613,203,36,65,00后 快乐 流行
176,民谣（是每个人的回忆）,2024-08-09,152122,969,17,5,219,民谣 00后 nan
177,心绪飘散在微风中,2025-07-14,1561187,4508,19,20,370,流行 夜晚 00后
178,狐狸不是骚，性感不是妖,2018-12-19,600283,4790,60,31,108,00后 电子 nan
179,2025年度全网热播爆款单曲,2025-07-13,80890,102,1,2,239,流行 网络歌曲 00后
180,一键收听PHONK「虚幻与狂野的交响」,2025-06-03,58441,835,6,13,288,电子 兴奋 00后
181,因为太敏感 爱与痛苦总是双倍感受,2025-04-29,930260,9969,209,167,139,流行 思念 00后
182,顶级对抗路必备[BGM]（边路战歌）,2020-10-05,391367,2826,52,12,409,后摇 游戏 00后
183,年轻不嗨，老年痴呆,2020-07-13,1286905,4843,86,10,180,00后 摇滚 朋克
184,静谧夜晚聆听星空的梦幻,2017-02-07,462700,802,19,2,451,华语 流行 00后
185,深夜emo必听11.2x快速变调伤感 歌曲,2025-07-07,45081,244,10,1,65,伤感 网络歌曲 00后
186,【心灵共鸣】自由绽放，无畏界限。,2025-07-11,150819,514,2,1,134,电子 网络歌曲 00后
187,“少给我套枷锁”,2023-07-23,111365,519,7,1,356,00后 兴奋 驾车
188,上网只为狂 死也不破防,2025-04-16,60281,488,9,5,142,流行 00后 网络歌曲
189,2025年度全网热播爆款单曲,2025-07-05,133260,173,1,1,231,流行 00后 网络歌曲
190,【ACGN/二次元】日系小清新杂货铺,2022-06-15,14329,507,3,2,354,日语 00后 清新
191,那些攻陷耳朵的英文歌,2024-05-12,25837,120,2,2,91,欧美 流行 00后
192,物是人非事事休 欲语泪先流,2023-10-04,290096,2279,76,52,230,00后 网络歌曲 nan
193,一听就爱上の前奏杀纯音乐,2020-02-23,3824969,76401,1330,257,103,轻音乐 放松 00后
194,谋爱先谋生 爱人先爱己,2019-10-27,158158,919,21,5,1207,华语 流行 00后
195,【回忆杀】伤感华语｜去看看花的那片海,2023-01-14,47567,170,22,2,63,伤感 华语 00后
196,开车必听！握紧你的方向盘！,2025-04-29,447489,1992,39,3,149,驾车 00后 nan
197,告诉老默 _我想吃鱼了,2023-01-20,81495,420,7,2,73,流行 酒吧 00后
198,男鬼/女鬼/病态/扭曲的爱/爽感,2025-01-26,172034,3672,51,13,68,00后 兴奋 nan
199,『金碟vip』尊贵的金碟会员专属歌曲,2024-12-28,40070,103,1,7,86,华语 治愈 00后
200,动画片主题曲 | 00后的童年回忆杀,2025-09-01,187822,350,14,3,212,流行 影视原声 00后
201,【旋律控】超级好听的欧美良曲,2021-04-08,16466631,270000,4108,319,199,欧美 世界音乐 00后
202,如果忧郁是天赋,2025-08-01,138462,3163,7,22,37,伤感 流行 00后
203,上网出征就是王 不改当年一字狂,2025-06-18,257462,3014,50,18,71,00后 网络歌曲 nan
204,一剑绝 两心狂 战场中争锋芒,2025-06-19,554804,4652,9,10,115,流行 网络歌曲 00后
205,我想我们好像相爱过,2025-07-31,110412,394,9,3,83,流行 伤感 00后
206,带感的欧美歌曲,2018-01-21,24308,138,12,7,222,00后 快乐 流行
207,千悲万恨四五弦，弦中甲马声骈阗,2017-02-21,986444,2065,42,5,444,华语 00后 浪漫
208,『返校BGM』你知道的，我喜欢开学,2025-08-28,11687,79,12,1,26,学习 00后 nan
209,00后|如果真有歌能带我们去爱人身边就好了,2019-04-10,28025,128,5,1,45,说唱 伤感 00后
210,时钟敲响 忧伤降临,2025-06-24,472972,3048,32,44,374,伤感 00后 nan
211,因为太敏感 爱与痛苦总是双倍感受,2025-03-05,52591,256,6,5,178,流行 思念 00后
212,桂A嗨老友歌单持续分享,2023-11-28,530832,4018,91,6,91,酒吧 00后 流行
213,霓虹蒸汽姬 蒸上你心头,2023-01-04,313860,3629,174,36,76,轻音乐 兴奋 00后
214,英语小札‖为你写一首爱情的诗,2020-08-19,240213,2145,69,21,200,欧美 流行 00后
215,世界第一吃货殿下,2017-11-11,98900,4552,30,18,607,华语 00后 nan
216,哈基米南北绿豆曼波～精选,2025-10-20,39222,870,35,8,129,华语 网络歌曲 00后
217,『一秒沦陷的纯音乐！超级好听』,2022-06-12,7210,41,4,1,174,放松 轻音乐 00后
218,怀旧金曲｜岁月流转，旧梦难拾的苦情之旅,2024-12-22,127745,221,6,1,35,流行 华语 00后
219,俄语‖就让这首歌伴你度过美好一天,2021-02-16,629225,2944,437,11,157,00后 榜单 网络歌曲
220,「欧美超燃｜节奏感音乐」跟随节奏律动摇摆,2023-03-30,30671,107,1,1,391,欧美 流行 00后
221,刘思鉴|我发着光当你们亮起灯海,2018-01-10,47101,544,16,4,136,00后 流行 治愈
222,祝大家写小说 画画灵感爆发,2024-08-16,5567,120,2,1,261,欧美 日语 00后
223,充满力量勇往直前的拼搏,2017-02-06,898521,1853,13,3,452,华语 00后 浪漫
224,哭干了眼泪 不再继续讲伤悲,2025-06-22,21989,74,1,32,198,流行 伤感 00后
225,中式新现实主义摇滚,2020-05-14,29293,482,3,8,214,华语 摇滚 00后
226,乱世 社会 旋律/.,2024-11-02,690571,5787,106,34,91,流行 舞曲 00后
227,推荐的一听就入睡的PHONK !,2025-06-06,25110,206,1,1,288,电子 兴奋 00后
228,激发运动热情的活力动感,2017-01-24,652699,1228,33,1,452,华语 流行 00后
229,想念变成空气在叹气,2024-07-25,88265,311,1,5,105,流行 00后 网络歌曲
230,爱 是逐渐疗愈伤口的过程,2025-05-21,75292,246,9,1,158,流行 00后 伤感
231,《华语流行金曲｜隔断间里的白日梦与叹息》,2023-01-25,6626,38,2,2,247,华语 流行 00后
232,他们朝我扔筷子 我拿筷子,2023-02-12,990014,9539,223,165,210,流行 电子 00后
233,（让各种好听的歌声进入你的耳朵）,2017-05-02,861586,2717,82,29,1240,90后 00后 网络歌曲
234,不要一时爽 要一直爽,2025-01-24,100286,375,5,2,71,00后 舞曲 驾车
235,口水dj旋律Vol 魔也是怔,2022-10-13,3690959,25434,1650,314,210,00后 流行 酒吧
236,十个英雄九个倒 剩我一个不死鸟.,2023-01-25,1202136,6408,104,53,382,流行 治愈 00后
237,那些惊艳了童年的动画片主题曲,2025-04-28,912356,4982,111,4,77,00后 流行 影视原声
238,马思唯/沙一汀EL/Capper/Tizzy T./姜云升,2021-08-04,8373541,72059,4422,353,100,说唱 华语 00后
239,值得一听的少年音 正太音,2020-02-12,112491,3690,41,46,838,00后 治愈 旅行
240,“推荐的PHONK”旋律占据大脑行动代替思考,2025-06-17,35320,85,3,2,288,电子 兴奋 00后
241,上网永不破防 只因旋律太狂,2024-04-19,403610,3311,107,30,2764,摇滚 流行 00后
242,“音符/用这颗千疮百孔的心 接受你的拷打,2025-04-27,290175,1324,13,5,85,00后 网络歌曲 说唱
243,[中文华语说唱]法老和他的小娇妻马思唯,2017-07-31,9016376,75066,1090,500,780,说唱 华语 00后
244,2025年全球热榜巅峰金曲,2025-09-02,344403,440,1,1,141,流行 00后 网络歌曲
245,虽然我们好景不长 但感谢你喜欢过我.,2024-10-19,412106,1541,57,32,78,00后 孤独 安静
246,综艺《种地吧少年》十个勤天 麦田音乐会,2023-07-01,183698,1914,13,12,58,综艺 华语 00后
247,可我偏偏就是不想要转弯,2019-07-01,6304944,45934,618,127,484,翻唱 00后 放松
248,就这一生 看透不如看淡 可以快乐就不要难过,2025-03-08,238449,1405,15,1,76,工作 放松 00后
249,神圣/宗教感（偏ACG）,2024-11-01,200418,7485,40,27,46,00后 ACG 安静
250,外面的世界太杂乱 听自己的心就好,2021-01-30,42788,202,5,2,182,治愈 00后 孤独
251,最近上头曲目，全网热播一网打尽,2025-06-25,209894,359,2,1,490,华语 00后 流行
252,痛苦五人组＋刀脚,2023-01-11,155776,1409,24,9,122,说唱 00后 伤感
253,跑图/挂机/病恋/节奏感强,2025-08-23,536,24,7,5,111,兴奋 电子 00后
254,从质疑老爸，到超越老爸,2024-12-15,1124315,8440,91,6,190,摇滚 00后 nan
255,00后流行歌曲热力榜,2023-11-29,155020,237,6,5,46,流行 00后 nan
256,"""关于你的一切 听了一遍又一遍""",2024-12-16,7537,21,2,1,131,治愈 伤感 00后
257,我反复听 你爱的歌.,2024-08-29,621806,1915,152,5,237,伤感 夜晚 00后
258,『100%好听』百听不厌的歌曲精选,2025-06-04,66606,178,140,4,229,华语 流行 00后
259,00后回忆杀经典怀旧老歌,2024-03-08,26105,98,4,2,205,00后 华语 怀旧
260,古风『有哪些好听，最近很火的古风歌曲』,2023-08-06,648625,3891,34,8,127,古风 华语 00后
261,2025年度全网热播爆款单曲,2025-07-13,356057,421,8,2,247,流行 网络歌曲 00后
262,精选/暗黑压迫感硬曲【phonk】,2025-06-29,44741,184,3,2,178,电子 兴奋 00后
263,标题： “精选的「TECHNO」听完直接嗨翻全场!,2025-06-19,286689,3319,6,6,269,电子 兴奋 00后
264,重庆猩猩地堡Hiphop歌单,2022-03-03,1706876,15436,524,27,277,说唱 舞曲 00后
265,健身动感旋律节拍运动达人推荐单,2025-06-26,285518,1304,9,1,110,电子 00后 欧美
266,极品【phonk】歌单｜全方面拿捏敌人,2025-07-06,127594,711,10,5,248,电子 兴奋 00后
267,-心跳频率 ‖ 爱情的主题曲,2025-02-16,129295,64,5,1,331,流行 00后 90后
268,《古风，纯音乐，电音》轻音系列,2017-06-11,2875113,56220,649,401,300,00后 轻音乐 放松
269,不觉碧山暮，秋云暗几重,2017-09-09,1284565,3493,44,9,453,华语 流行 00后
270,属于00后的校园回忆杀。,2025-04-27,314990,2951,53,13,64,华语 校园 00后
271,幸福的人不晚睡.,2022-04-29,235727,430,17,2,67,流行 夜晚 00后
272,游戏歌单｜自信即巅峰,2019-12-16,14977997,130000,1702,484,250,游戏 00后 nan
273,哭干了眼泪不再继续讲伤悲,2025-06-20,43435,123,6,3,199,流行 伤感 00后
274,琴酒（教皇/视频收录音乐/司空震/手感）,2025-03-25,132769,955,13,8,33,游戏 00后 网络歌曲
275,我还是很喜欢你 但我深知我们不能在一起,2025-06-02,85170,542,4,6,162,伤感 00后 思念
276,“智者不入爱河”【我可不是花花公子】,2022-08-13,33696,131,5,4,57,流行 兴奋 00后
